x	y
1	7.51196172248804	10.9268292682927
2	7.77033492822966	10.1463414634146
3	7.48325358851675	8.65040650406505
4	7.79904306220096	7.15447154471545
5	7.87081339712918	5.65853658536585
6	8.1578947368421	6.76422764227643
7	8.24401913875598	4.94308943089431
8	8.35885167464115	5.52845528455285
9	8.40191387559809	6.56910569105691
10	8.58851674641148	2.66666666666667
11	8.80382775119617	-0.325203252032516
12	9.10526315789473	-3.05691056910569
13	9.29186602870813	-6.17886178861788
14	9.70813397129186	-6.04878048780488
