x	y
1	5.88995215311005	13.7173913043478
2	5.97607655502392	12.8695652173913
3	5.77511961722488	12.4782608695652
4	5.93301435406698	10.8478260869565
5	5.91866028708134	9.21739130434784
6	6.04784688995215	8.6304347826087
7	6.09090909090909	8.30434782608697
8	6.20574162679426	8.30434782608697
9	6.0622009569378	6.21739130434784
10	6.10526315789474	6.54347826086958
11	6.27751196172249	4.00000000000001
12	6.34928229665072	2.23913043478263
13	6.44976076555024	2.95652173913045
14	6.50717703349282	3.15217391304349
15	6.66507177033493	-0.565217391304337
16	6.7511961722488	-5.32608695652173
17	6.82296650717703	-5.19565217391303
